Found. Trends Mach. Learn.
Math. Oper. Res.
Inf. Syst. Front.
Online Learn. J.
Theory Comput.
Comput. Med. Imaging Graph.
Comput. Commun.
Curr. Opin. Syst. Biol.
npj Syst. Biol. Appl.
Control. Eng. Pract.
Eng. Sci.
IEEE Trans. Artif. Intell.
J. Inf. Technol.
J. Learn. Anal.
J. Chem. Inf. Model.
IEEE Trans. Emerg. Top. Comput.
J. Res. Technol. Educ.
IEEE Trans. Comput. Soc. Syst.
Mach. Learn.: Sci. Technol.
Environ. Model. Softw.
J. Comput. Civ. Eng.
IEEE/ACM Trans. Audio Speech Lang. Process.
IEEE Trans. Sustain. Comput.
Inf. Technol. Tour.
China Commun.
Comput. Mech.
Int. J. Geogr. Inf. Sci.
J. Comput. Phys.: X
Comput. Phys. Commun.
Electron. Commer. Res. Appl.
Mob. Media Commun.
Pattern Recognit. Lett.
Ad Hoc Netw.
IEEE Circuits Syst. Mag.
IEEE Trans. Signal Inf. Process. Netw.
Empir. Softw. Eng.
J. Opt. Commun. Netw.
Random Struct. Algorithms
J. Inf. Secur. Appl.
J. Syst. Archit.
ACM Trans. Knowl. Discov. Data
J. Inf.
Int. J. Hum. Comput. Stud.
Cybersecurity
Technol. Pedagog. Educ.
IEEE Trans. Neural Syst. Rehabil. Eng.
Comput. Struct.
IEEE Trans. Biom. Behav. Identity Sci.
Robot. Auton. Syst.
J. Enterp. Inf. Manag.
Top. Cogn. Sci.
Polic. Internet
Comput. Linguist.
Minds Mach.
Des. Stud.
Signal Process.
User Model. User-Adapt. Interact.
ACM Trans. Sens. Netw.
Comput. Biol. Med.
Ind. Manag. Data Syst.
Comput. Vis. Image Underst.
Fuzzy Sets Syst.
ACM Trans. Internet Technol.
Eur. J. Comb.
Railw. Eng. Sci.
ICT Express
Artif. Intell. Agric.
Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.
Comput. Stand. Interfaces
ACM Trans. Softw. Eng. Methodol.
Inf. Technol. Dev.
Inf. Inference
Distrib. Comput.
J. Comb. Theory- A
Telecommun. Polic.
J. Internet Commer.
ACM Trans. Math. Softw.
Interact. Technol. Smart Educ.
IEEE Trans. Big Data
Inf. Softw. Technol.
Comput. Geosci.
Hum.-Comput. Interact.
ACM Trans. Web
Int. J. Soc. Robot.
Indones. J. Sci. Technol.
IEEE Trans. Cogn. Dev. Syst.
ReCALL
IEEE Robot. Autom. Mag.
Intell.-Based Med.
J. Sci. Comput.
Interact. Learn. Environ.
Sci. Technol. Hum. Values
Neural Comput. Appl.
Auton. Robot.
J. Heal. Inform. Res.
Inf. Syst. Manag.
J. Frankl. Inst.
J. Parallel Distrib. Comput.
Eng. Appl. Comput. Fluid Mech.
Int. J. Mol. Sci.
Fuzzy Optim. Decis. Mak.
IEEE Trans. Comput.
Methods Data Anal.
IACR Trans. Symmetric Cryptol.
Int. J. Heal. Geogr.
Am. J. Distance Educ.
IEEE Trans. Learn. Technol.
Complex Intell. Syst.
Theory Pract. Log. Program.
ACM Trans. Internet Things
Bioinform. Biol. Insights
Intell. Syst. Appl.
J. Membr. Comput.
J. Syst. Softw.
Lang. Learn. Technol.
IEEE Signal Process. Lett.
Int. J. Logist. Res. Appl.
Comput. Methods Programs Biomed.
Struct. Multidiscip. Optim.
CAAI Trans. Intell. Technol.
Inverse Probl.
Int. J. Artif. Intell. Educ.
Technol. Knowl. Learn.
IEEE Trans. Comput. Imaging
Int. J. Syst. Sci.
Ocean. Model.
J. Grid Comput.
J. Intell. Transp. Syst.: Technol. Plan. Oper.
BMC Bioinform.
Eng. Comput.
J. Inf. Syst.
IEEE Trans. Quantum Eng.
J. Biomed. Inform.
Virtual Real.
Inf. Technol. People
Pervasive Mob. Comput.
Optim. Methods Softw.
Biomedical Signal Processing and Control
Cogn. Syst. Res.
EPJ Data Sci.
ACM Trans. Multimed. Comput. Commun. Appl.
Games Cult.
Granul. Comput.
Int. Trans. Oper. Res.
Int. J. Comput. Integr. Manuf.
J. Digit. Imaging
Knowl. Eng. Rev.
Int. J. Digit. Earth
IEEE Trans. Hum.-Mach. Syst.
Online Soc. Netw. Media
Quantum Mach. Intell.
J. Artif. Intell. Soft Comput. Res.
J. Manuf. Sci. Eng.
Memetic Comput.
Enterp. Inf. Syst.
IEEE Intell. Transp. Syst. Mag.
Cogn. Comput.
Eng. Sci. Technol. Int. J.
Des. Codes Cryptogr.
Data Sci. J.
IPSJ Trans. Comput. Vis. Appl.
J. Cryptol.
IEEE Internet Comput.
Scientometrics
Int. J. Cogn. Comput. Eng.
J. Assoc. Inf. Sci. Technol.
World Wide Web
Computability
Algorithmica
Comput. Soc. Netw.
Int. J. Mach. Learn. Cybern.
J. Reliab. Intell. Environ.
J. Inf. Technol. Politics
Digit. Heal.
JASSS
Brain Inform.
RIED-Rev. Iberoam. Educ. Distancia
Eurasip J. Wirel. Commun. Netw.
Big Earth Data
Int. J. Approx. Reason.
Inf. Learn. Sci.
Inf. Syst.
J. Cloud Comput.
Dianli Xitong Zidonghua/Automation Electr. Power Syst.
Front. Neuroinformatics
Appl. Clin. Inform.
IEEE Trans. Comput.-Aided Des. Integr. Circuits Syst.
J. Mech. Des. Trans. ASME
Journal of Process Control
Comput. Fluids
Smart Learn. Environ.
Inf. Process. Agric.
J. Innov. Entrep.
Web Semant.
Comput. Graph. Forum
Comput. Electr. Eng.
ACM Trans. Cyber-Phys. Syst.
Comput. Sci. Educ.
Stat. Comput.
IEEE J. Radio Freq. Identif.
Appl. Comput. Inform.
IEEE Access
Inf. Soc.
J. King Saud Univ.- Comput. Inf. Sci.
IET Smart Grid
Egypt. Inform. J.
Ecol. Inform.
J. Med. Syst.
BioData Min.
ACM Trans. Reconfigurable Technol. Syst.
Data Intell.
Networks
Vis. Eng.
ACM Trans. Comput. Educ.
J. Ambient. Intell. Humaniz. Comput.
Cryptogr. Commun.
Comb. Probab. Comput.
Int. J. Popul. Data Sci.
ACM Trans. Priv. Secur.
Int. J. Syst. Sci.: Oper. Logist.
Match
ACM Trans. Econ. Comput.
IET Quantum Commun.
Comput. Stat. Data Anal.
Comput. Commun. Rev.
Prof. Inf.
Sustain. Comput.: Inform. Syst.
Neuroinformatics
Comput. Math. Appl.
J. Comput. Des. Eng.
ACM Trans. Comput. Theory
J. Wirel. Mob. Netw. Ubiquitous Comput. Dependable Appl.
Glob. J. Eng. Educ.
Int. j. comput. assist. radiol. surg.
Sens. Actuators Rep.
CAD Comput. Aided Des.
J. Cybersecur.
Finite Elem. Anal. Des.
J. Comput. Virol. Hacking Tech.
Vis. Inform.
Front. Comput. Sci.
Comput. Mater. Sci.
Math. Comput. Simul.
IBM J. Res. Dev.
Ecol. Psychol.
Constr. Innov.
Int. J. Inf. Technol. Decis. Mak.
Comput. Compos.
ACM SIGBED Rev.
Vis. Comput. Ind. Biomed. Art
Rom. J. Inf. Sci. Technol.
J. Comput. Sci.
Discret. Math. Theor. Comput. Sci.
Appl. Math. Nonlinear Sci.
